Step,1.2B,1.4B,1B,0.8B,0.5B,0.2B
5,10.804527282714844,10.80101490020752,10.808282852172852,10.810267448425293,10.813263893127441,10.809123039245605
10,9.851856231689453,9.682203293,9.748273849487305,9.644111633300781,9.622541427612305,9.658595085144043
15,9.183165550231934,9.154930114746094,9.148889541625977,9.166378975,9.095467567443848,9.179560661315918
20,8.645088195800781,8.60406208,8.643399238586426,8.600461959838867,8.599407196044922,8.610301018
25,8.296676635742188,8.284285545349121,8.307188987731934,8.283964157104492,8.257318496704102,8.289514541625977
30,8.084066390991211,8.069012641906738,8.086139678955078,8.034919738769531,8.141711235046387,8.130681037902832
35,7.910881519317627,7.840241909,7.8486619,7.85741663,7.855522632598877,7.845790386199951
40,7.677300930023193,7.676308631896973,7.662426948547363,7.663442611694336,7.675753593444824,7.731925010681152
45,7.545621871948242,7.518867015838623,7.5417351722717285,7.546313762664795,7.5505547523498535,7.577178955078125
50,7.419859409332275,7.403904438018799,7.404592990875244,7.402985572814941,7.431255340576172,7.417435646057129
55,7.301203251,7.269179821014404,7.272388458251953,7.309291362762451,7.3147807121276855,7.304655075073242
60,7.206880569458008,7.131551265716553,7.161920070648193,7.234121799468994,7.202845573425293,7.191685676574707
65,7.123936653137207,7.0506205558776855,7.113485813140869,7.124945163726807,7.118964672088623,7.129770755767822
70,7.015880584716797,6.912314414978027,6.983765125274658,7.010782241821289,7.025892734527588,6.985981464385986
75,6.893427848815918,6.819062232971191,6.877042770385742,6.938558578491211,6.880620956420898,6.893671035766602
80,6.812073707580566,6.739784240722656,6.779362678527832,6.794952869415283,6.8156538009643555,6.856615067
85,6.696345806121826,6.694274902,6.692882061004639,6.705010414123535,6.728604793548584,6.736946105957031
90,6.641536235809326,6.605078220367432,6.612816333770752,6.6171112060546875,6.646703720092773,6.648888588
95,6.521605968475342,6.536836624145508,6.680796146392822,6.571781635284424,6.613002300262451,6.583072185516357
100,6.443212985992432,6.448075294494629,6.469992160797119,6.482223033905029,6.483309268951416,6.458751201629639
105,6.445810317993164,6.345612525939941,6.383018970489502,6.394971848,6.398013591766357,6.446820259094238
110,6.380358695983887,6.327695846557617,6.311830043792725,6.345836639404297,6.354269027709961,6.332245826721191
115,6.230889797210693,6.182497501373291,6.232523441314697,6.249993324279785,6.2522807121276855,6.219110488891602
120,6.156785965,6.156888484954834,6.138283729553223,6.160979270935059,6.179965496063232,6.1902642250061035
125,6.067229747772217,6.122546672821045,6.081601619720459,6.173983097076416,6.138634682,6.187437534332275
130,6.010677814483643,6.044493198394775,6.022201061248779,6.060676574707031,6.010305404663086,6.076261043548584
135,6.0116777420043945,5.945859432220459,5.922878265380859,5.93951416,5.967418670654297,5.963270664215088
140,5.9139790534973145,5.863957405090332,5.862761497497559,5.915494918823242,5.944968223571777,5.960157394
145,5.806863307952881,5.788995265960693,5.808286190032959,5.885490894317627,5.835216522216797,5.8946404457092285
150,5.894974708557129,5.815083980560303,5.782364368438721,5.794945717,5.7495808601379395,5.768499851226807
155,5.787347793579102,5.647235394,5.725986480712891,5.676373481750488,5.681695461273193,5.781641960144043
160,5.737049579620361,5.579273223876953,5.660588264465332,5.6454901695251465,5.655270099639893,5.701763153076172
165,5.597926139831543,5.612992286682129,5.548037528991699,5.591446399688721,5.5813117027282715,5.597949981689453
170,5.492082595825195,5.4853105545043945,5.446719169616699,5.518233776092529,5.488607883453369,5.509252548217773
175,5.553511142730713,5.379267692565918,5.442143917,5.439897060394287,5.4363884925842285,5.517874717712402
180,5.471859455108643,5.338230133056641,5.404905796051025,5.3766374588012695,5.396098613739014,5.405904293060303
