2024-11-10 15:47:27 - INFO: Total parameters: 2732201
2024-11-10 15:47:30 - INFO: data type: 13_xm0 	 Acc: 0.0016
2024-11-10 15:47:30 - INFO: data type: 23_xm0 	 Acc: 0.004088888888888889
2024-11-10 15:47:30 - INFO: data type: 43_xm0 	 Acc: 0.0032
2024-11-10 15:47:30 - INFO: data type: 31_xm0 	 Acc: 0.0037333333333333333
2024-11-10 15:47:30 - INFO: data type: 32_xm0 	 Acc: 0.003911111111111111
2024-11-10 15:47:30 - INFO: data type: 34_xm0 	 Acc: 0.0026666666666666666
2024-11-10 15:47:30 - INFO: data type: 12_xm0 	 Acc: 0.004266666666666667
2024-11-10 15:47:30 - INFO: data type: 14_xm0 	 Acc: 0.006577777777777778
2024-11-10 15:47:31 - INFO: data type: 21_xm0 	 Acc: 0.005511111111111111
2024-11-10 15:47:31 - INFO: data type: 41_xm0 	 Acc: 0.0048
2024-11-10 15:47:31 - INFO: data type: 24_xm0 	 Acc: 0.0032
2024-11-10 15:47:31 - INFO: data type: 42_xm0 	 Acc: 0.003911111111111111
2024-11-10 15:47:31 - INFO: data type: 11_xm0 	 Acc: 0.0028444444444444446
2024-11-10 15:47:31 - INFO: data type: 22_xm0 	 Acc: 0.0037333333333333333
2024-11-10 15:47:31 - INFO: data type: 33_xm0 	 Acc: 0.002311111111111111
2024-11-10 15:47:31 - INFO: data type: 44_xm0 	 Acc: 0.0035555555555555557
2024-11-10 15:47:32 - INFO: data type: 13_xel 	 Acc: 0.004148148148148148
2024-11-10 15:47:32 - INFO: data type: 23_xel 	 Acc: 0.0037728395061728394
2024-11-10 15:47:33 - INFO: data type: 43_xel 	 Acc: 0.0034567901234567903
2024-11-10 15:47:34 - INFO: data type: 31_xel 	 Acc: 0.003437037037037037
2024-11-10 15:47:35 - INFO: data type: 32_xel 	 Acc: 0.005985185185185185
2024-11-10 15:47:36 - INFO: data type: 34_xel 	 Acc: 0.0033777777777777777
2024-11-10 15:47:36 - INFO: data type: 12_xel 	 Acc: 0.005017283950617284
2024-11-10 15:47:37 - INFO: data type: 14_xel 	 Acc: 0.0035753086419753085
2024-11-10 15:47:38 - INFO: data type: 21_xel 	 Acc: 0.0034962962962962964
2024-11-10 15:47:39 - INFO: data type: 41_xel 	 Acc: 0.0034962962962962964
2024-11-10 15:47:39 - INFO: data type: 24_xel 	 Acc: 0.0033382716049382716
2024-11-10 15:47:40 - INFO: data type: 42_xel 	 Acc: 0.004740740740740741
2024-11-10 15:47:41 - INFO: data type: 11_xel 	 Acc: 0.0030617283950617282
2024-11-10 15:47:41 - INFO: data type: 22_xel 	 Acc: 0.005688888888888889
2024-11-10 15:47:42 - INFO: data type: 33_xel 	 Acc: 0.0033777777777777777
2024-11-10 15:47:43 - INFO: data type: 44_xel 	 Acc: 0.003140740740740741
2024-11-10 15:47:43 - INFO: Deviation Distribution:
2024-11-10 15:47:43 - INFO:   deviation: -88 	 Acc: 0.0001
2024-11-10 15:47:43 - INFO:   deviation: -87 	 Acc: 0.0002
2024-11-10 15:47:43 - INFO:   deviation: -86 	 Acc: 0.0002
2024-11-10 15:47:43 - INFO:   deviation: -85 	 Acc: 0.0001
2024-11-10 15:47:43 - INFO:   deviation: -84 	 Acc: 0.0001
2024-11-10 15:47:43 - INFO:   deviation: -83 	 Acc: 0.0001
2024-11-10 15:47:43 - INFO:   deviation: -82 	 Acc: 0.0001
2024-11-10 15:47:43 - INFO:   deviation: -81 	 Acc: 0.0001
2024-11-10 15:47:43 - INFO:   deviation: -80 	 Acc: 0.0001
2024-11-10 15:47:43 - INFO:   deviation: -79 	 Acc: 0.0001
