,Train/Samples/train_loss,_step,_runtime,_timestamp,Train/Samples/lr,Train/Samples/eval_loss
0,11.50621509552002,1600.0,33.692036390304565,1720437905.8388815,6.25e-06,
1,11.511942863464355,3200.0,34.26030445098877,1720437906.4071496,1.25e-05,
2,11.005793571472168,4800.0,34.82862448692322,1720437906.9754696,1.875e-05,
3,11.209518432617188,6400.0,35.39860272407532,1720437907.5454478,2.5e-05,
4,10.923056602478027,8000.0,35.966890811920166,1720437908.113736,3.125e-05,
5,11.199756622314453,9600.0,36.5363986492157,1720437908.6832438,3.75e-05,
6,10.620262145996094,11200.0,37.104777812957764,1720437909.251623,4.3750000000000006e-05,
7,10.248595237731934,12800.0,37.673038721084595,1720437909.8198838,5e-05,
8,10.23264217376709,14400.0,38.2442364692688,1720437910.3910816,5.625e-05,
9,10.091991424560547,16000.0,66.58404326438904,1720437938.7308884,6.25e-05,10.03399658203125
10,10.033812522888184,17600.0,67.15342402458191,1720437939.3002691,6.875e-05,
11,9.812231063842773,19200.0,67.72527194023132,1720437939.872117,7.5e-05,
12,9.647913932800293,20800.0,68.2949857711792,1720437940.4418309,8.125e-05,
13,9.55284595489502,22400.0,68.8642041683197,1720437941.0110493,8.750000000000001e-05,
14,9.375201225280762,24000.0,69.43494415283203,1720437941.5817893,9.375e-05,
15,9.22554874420166,25600.0,70.00507831573486,1720437942.1519234,0.0001,
16,9.111711502075195,27200.0,70.57516384124756,1720437942.722009,0.00010625,
17,9.027985572814941,28800.0,71.14533042907715,1720437943.2921755,0.0001125,
18,8.848811149597168,30400.0,71.71087527275085,1720437943.8577204,0.00011875000000000001,
19,8.777022361755371,32000.0,99.92676734924316,1720437972.0736125,0.000125,8.668242454528809
20,8.661882400512695,33600.0,100.50296521186829,1720437972.6498103,0.00013125000000000002,
21,8.571483612060547,35200.0,101.0763144493103,1720437973.2231596,0.0001375,
22,8.46674919128418,36800.0,101.64526581764221,1720437973.792111,0.00014375000000000002,
23,8.408703804016113,38400.0,102.21752309799194,1720437974.3643682,0.00015,
24,8.369563102722168,40000.0,102.79062986373901,1720437974.937475,0.00015625,
25,8.382222175598145,41600.0,103.36569929122925,1720437975.5125444,0.0001625,
26,8.276516914367676,43200.0,103.93796801567078,1720437976.084813,0.00016875,
27,8.270384788513184,44800.0,104.51081442832947,1720437976.6576595,0.00017500000000000003,
28,8.177835464477539,46400.0,105.08373522758484,1720437977.2305803,0.00018125,
29,8.136256217956543,48000.0,133.2551302909851,1720438005.4019754,0.0001875,8.122454643249512
30,8.148468017578125,49600.0,133.8343105316162,1720438005.9811556,0.00019375,
