,Train/Samples/eval_loss,Train/Samples/train_loss,_step,_runtime,_timestamp,Train/Samples/lr
0,,11.507164001464844,1600.0,35.991063833236694,1720428828.5321238,6.25e-06
1,,11.508543968200684,3200.0,36.563146352767944,1720428829.1042063,1.25e-05
2,,11.004130363464355,4800.0,37.131653785705566,1720428829.6727138,1.875e-05
3,,11.180548667907715,6400.0,37.69977021217346,1720428830.2408302,2.5e-05
4,,10.96924877166748,8000.0,38.26683068275452,1720428830.8078907,3.125e-05
5,,11.17636775970459,9600.0,38.835237979888916,1720428831.376298,3.75e-05
6,,10.601366996765137,11200.0,39.40325570106506,1720428831.9443157,4.3750000000000006e-05
7,,10.296106338500977,12800.0,39.970343589782715,1720428832.5114036,5e-05
8,,10.251402854919434,14400.0,40.5374391078949,1720428833.078499,5.625e-05
9,9.943036079406738,10.059905052185059,16000.0,68.89104509353638,1720428861.432105,6.25e-05
10,,9.943207740783691,17600.0,69.46232342720032,1720428862.0033834,6.875e-05
11,,9.70776081085205,19200.0,70.03274083137512,1720428862.5738008,7.5e-05
12,,9.565119743347168,20800.0,70.6036114692688,1720428863.1446714,8.125e-05
13,,9.586669921875,22400.0,71.17413687705994,1720428863.7151968,8.750000000000001e-05
14,,9.332476615905762,24000.0,71.74433088302612,1720428864.2853909,9.375e-05
15,,9.215679168701172,25600.0,72.31529355049133,1720428864.8563535,0.0001
16,,9.129868507385254,27200.0,72.88522672653198,1720428865.4262867,0.00010625
17,,9.018387794494629,28800.0,73.45622611045837,1720428865.997286,0.0001125
18,,8.860270500183105,30400.0,74.02649092674255,1720428866.567551,0.00011875000000000001
19,8.681933403015137,8.782011985778809,32000.0,102.21810126304626,1720428894.7591612,0.000125
20,,8.677079200744629,33600.0,102.79167699813843,1720428895.332737,0.00013125000000000002
21,,8.584650039672852,35200.0,103.3635687828064,1720428895.9046288,0.0001375
22,,8.49990177154541,36800.0,103.92996597290039,1720428896.471026,0.00014375000000000002
23,,8.421274185180664,38400.0,104.50181484222412,1720428897.0428748,0.00015
24,,8.357222557067871,40000.0,105.07330632209778,1720428897.6143663,0.00015625
25,,8.304810523986816,41600.0,105.64043712615967,1720428898.181497,0.0001625
26,,8.33735179901123,43200.0,106.21101069450378,1720428898.7520707,0.00016875
27,,8.20224380493164,44800.0,106.78208637237549,1720428899.3231463,0.00017500000000000003
28,,8.176412582397461,46400.0,107.34832501411438,1720428899.889385,0.00018125
