,_timestamp,Train/Samples/lr,Train/Samples/eval_loss,Train/Samples/train_loss,_step,_runtime
0,1720303011.7104545,6.25e-06,,11.009081840515137,1600.0,38.83954358100891
1,1720303012.2740903,1.25e-05,,11.009081840515137,3200.0,39.40317940711975
2,1720303012.836948,1.875e-05,,11.007143020629883,4800.0,39.9660370349884
3,1720303013.4042497,2.5e-05,,10.975927352905273,6400.0,40.53333878517151
4,1720303013.971215,3.125e-05,,10.923429489135742,8000.0,41.1003041267395
5,1720303014.5368485,3.75e-05,,10.881158828735352,9600.0,41.665937662124634
6,1720303015.101265,4.3750000000000006e-05,,10.825512886047363,11200.0,42.23035407066345
7,1720303015.666141,5e-05,,10.751808166503906,12800.0,42.79523015022278
8,1720303016.2305472,5.625e-05,,10.662306785583496,14400.0,43.359636306762695
9,1720303044.4396443,6.25e-05,10.445734024047852,10.561576843261719,16000.0,71.56873345375061
10,1720303045.006178,6.875e-05,,10.446532249450684,17600.0,72.13526701927185
11,1720303045.5720062,7.5e-05,,10.3230619430542,19200.0,72.70109534263611
12,1720303046.1369524,8.125e-05,,10.191591262817383,20800.0,73.26604151725769
13,1720303046.702676,8.750000000000001e-05,,10.058429718017578,22400.0,73.83176517486572
14,1720303047.268262,9.375e-05,,9.920008659362793,24000.0,74.39735102653503
15,1720303047.8338256,0.0001,,9.784000396728516,25600.0,74.96291470527649
16,1720303048.399857,0.00010625,,9.652125358581543,27200.0,75.52894616127014
17,1720303048.965083,0.0001125,,9.533869743347168,28800.0,76.09417200088501
18,1720303049.5304859,0.00011875000000000001,,9.39709758758545,30400.0,76.65957498550415
19,1720303077.4357994,0.000125,9.186044692993164,9.296760559082031,32000.0,104.56488847732544
20,1720303078.004132,0.00013125000000000002,,9.183499336242676,33600.0,105.13322114944458
21,1720303078.5718834,0.0001375,,9.082155227661133,35200.0,105.70097255706787
22,1720303079.1390102,0.00014375000000000002,,8.989816665649414,36800.0,106.26809930801392
23,1720303079.7047718,0.00015,,8.906349182128906,38400.0,106.83386087417603
24,1720303080.2709239,0.00015625,,8.843939781188965,40000.0,107.4000129699707
